,userId,symbol,pnl,roe,createTimeStamp,updateTimeStamp,amount,date,timeInTrade
0,D64DDD2177FA081E3F361F70C703A562,LUNAUSDT,1651.368321,0.18100212,1648525662.194,1648671561.231,425.0,2022-03-30 23:19:21.231,145899.037
0,D64DDD2177FA081E3F361F70C703A562,1000SHIBUSDT,-2237.5049544,-0.0956,1648669225.743,1648671886.197,3390570.0,2022-03-30 23:24:46.197,2660.454
0,D64DDD2177FA081E3F361F70C703A562,ENSUSDT,-4150.293,-0.1333,1648534788.953,1648673797.488,8074.5,2022-03-30 23:56:37.488,139008.535
0,D64DDD2177FA081E3F361F70C703A562,ANCUSDT,-63.27437771,-0.03175029,1648534723.364,1648685979.781,1399.0,2022-03-31 03:19:39.781,151256.417
0,D64DDD2177FA081E3F361F70C703A562,ETCUSDT,-6893.44493825,-0.0807,1648617312.062,1648729616.368,17052.51,2022-03-31 15:26:56.368,112304.306
0,D64DDD2177FA081E3F361F70C703A562,BAKEUSDT,14176.5565767,0.1326,1648750705.162,1648814612.066,162939.0,2022-04-01 15:03:32.066,63906.904
0,D64DDD2177FA081E3F361F70C703A562,SNXUSDT,2835.96007524,0.0152,1648818536.031,1648831833.688,51527.6,2022-04-01 19:50:33.688,13297.657
0,D64DDD2177FA081E3F361F70C703A562,FTMUSDT,56630.52558828,0.3283,1648786639.885,1648843518.538,659754.0,2022-04-01 23:05:18.538,56878.653
0,D64DDD2177FA081E3F361F70C703A562,ALPHAUSDT,39232.97916636,0.7861,1648560032.771,1648844960.281,160321.0,2022-04-01 23:29:20.281,284927.51
0,D64DDD2177FA081E3F361F70C703A562,CRVUSDT,-652.91075921,-0.0098,1648558579.266,1648851726.494,71293.8,2022-04-02 01:22:06.494,293147.228
0,D64DDD2177FA081E3F361F70C703A562,GMTUSDT,-2029.74901866,-0.0264,1648812765.862,1648853027.435,-107557.0,2022-04-02 01:43:47.435,40261.573
0,D64DDD2177FA081E3F361F70C703A562,ZILUSDT,14272.651665,0.1572,1648814519.749,1648863663.529,-1444966.0,2022-04-02 04:41:03.529,49143.78
0,D64DDD2177FA081E3F361F70C703A562,VETUSDT,-33269.56042605,-0.1835,1648639335.083,1648900692.593,8946677.0,2022-04-02 14:58:12.593,261357.51
